Campaign Description History,Call Type Designation,TFN,,Script,Transfer,Percent,Report,SalesForceID,SourceID,BusinessDesignation,BusinessSourceID,Greeting
BI 218 Cell B PO Box Business GEO PRF 15Q3 Smoothed Tile 1,Business,8442639370,,Business,0,,0,70130000000Ndh5,,Business Campaigns,,
Sheba Indoor Solutions,Dealer,8442639371,,Consumer Residential,0,,0,,76675,,,<font size='8' color='red'><b>Thank you for calling Sheba Indoor Solutions! Don't forget to ask about our special offers today!</b></font>
BI 218 Cell C PO Box Business GEO PRF 15Q3 Smoothed Tile 2,Business,8442639375,,Business,0,,0,70130000000NdhA,,Business Campaigns,,
DM 717 Infield,Campaigns,8442639380,,Consumer Residential,0,,0,,,,,
BI 218 Cell D PO Box Business GEO PRF 15Q3 Smoothed Tile 3,Business,8442639381,,Business,0,,0,70130000000NdhF,,Business Campaigns,,
BI 218 Root Domain,Business,8442639384,,Business,0,,0,70130000000NdhK,,Business Campaigns,,
DM 717 Infield,Campaigns,8442639385,,Consumer Residential,0,,0,,,,,
DM 717 Infield,Campaigns,8442639387,,Consumer Residential,0,,0,,,,,
DM 717 Infield,Campaigns,8442688492,,Consumer Residential,0,,0,,,,,
DM 717 Outfield,Campaigns,8442688493,,Consumer Residential,0,,0,,,,,
DM 617 Outfield,Campaigns,8442688494,,Consumer Residential,0,,0,,,,,
DM 717 Outfield,Campaigns,8442688495,,Consumer Residential,0,,0,,,,,
DM 717 Outfield,Campaigns,8442688496,,Consumer Residential,0,,0,,,,,
DM 617 Outfield,Campaigns,8442688497,,Consumer Residential,0,,0,,,,,
DM 617 Outfield,Campaigns,8442688498,,Consumer Residential,0,,0,,,,,
New Mexico VSAT,Dealer,8442688501,,Consumer Residential,0,,0,,54200,,,<font size='8' color='red'><b>Thank you for calling New Mexico VSAT! Don't forget to ask about our special offers today!</b></font>
John Peterson Enterprises,Dealer,8442771581,,Consumer Residential,0,,0,,73313,,,<font size='8' color='red'><b>Thank you for calling John Peterson Enterprises! Don't forget to ask about our special offers today!</b></font>
DM 1017 Root Domain,Campaigns,8442771582,,Consumer Residential,0,,0,,,,,
DM 1015 Spaceway ANI Prospect EPQ HNS14Q1 Maturity Cut,Campaigns,8442771583,,Consumer Residential,0,,0,,,,,
DM 1017 Outfield,Campaigns,8442771584,,Consumer Residential,0,,0,,,,,
DM 917 Root Domain,Campaigns,8442771585,,Consumer Residential,0,,0,,,,,
GC Communications,Dealer,8442771586,,Consumer Residential,0,,0,,73545,,,<font size='8' color='red'><b>Thank you for calling GC Communications! Don't forget to ask about our special offers today!</b></font>
DM 1017 Outfield,Campaigns,8442771587,,Consumer Residential,0,,0,,,,,
DM 917 Infield,Campaigns,8442771588,,Consumer Residential,0,,0,,,,,
DM 915 ECHOXVII HHD15Q1 1thru4 Odd,Campaigns,8442771589,,Consumer Residential,0,,0,,,,,
DM 815 Spaceway ANI Prospect EPQ HNS14Q1 Maturity Cut,Campaigns,8442771590,,Consumer Residential,0,,0,,,,,
DM 817 Infield,Campaigns,8442778525,,Consumer Residential,0,,0,,,,,
DM 817 Infield,Campaigns,8442778526,,Consumer Residential,0,,0,,,,,
DM 817 Infield,Campaigns,8442778527,,Consumer Residential,0,,0,,,,,
DM 815 ECHOXVII HHD15Q1 1to3 Even,Campaigns,8442778528,,Consumer Residential,0,,0,,,,,
DM 815 Echo XVII HHD Freq HNS14Q1 3plus  HHD15Q1 1to2 Odd,Campaigns,8442778529,,Consumer Residential,0,,0,,,,,
DM 817 Outfield,Campaigns,8442778530,,Consumer Residential,0,,0,,,,,
DM 817 Outfield,Campaigns,8442778531,,Consumer Residential,0,,0,,,,,
DM 817 Infield,Campaigns,8442778532,,Consumer Residential,0,,0,,,,,
DM 817 Infield,Campaigns,8442778533,,Consumer Residential,0,,0,,,,,
DM 817 Infield,Campaigns,8442778534,,Consumer Residential,0,,0,,,,,
DM 815 Echo XVII GROWTH Freq Cell  HNS14Q1 1and2 HHD15Q1 1to3 Odd,Campaigns,8442853270,,Consumer Residential,0,,0,,,,,
DM 815 Echo XVII GROWTH HHD15Q1 1to4 Even,Campaigns,8442853271,,Consumer Residential,0,,0,,,,,
DM 815 Echo XVII GROWTH HHD15Q1 1to4 Even,Campaigns,8442853274,,Consumer Residential,0,,0,,,,,
DM 815 Echo XVII GROWTH HHD15Q1 1to4 Even,Campaigns,8442853275,,Consumer Residential,0,,0,,,,,
DM 815 Echo XVII GROWTH HHD Freq HNS14Q1 3plus HHD15Q1 1to2 Odd,Campaigns,8442853277,,Consumer Residential,0,,0,,,,,
Skywave Satellite,Dealer,8442853278,,Consumer Residential,0,,0,,70372,,,<font size='8' color='red'><b>Thank you for calling Skywave Satellite! Don't forget to ask about our special offers today!</b></font>
DM 815 Random Standard S and Growth G,Campaigns,8442853279,,Consumer Residential,0,,0,,,,,
Appalachian Mountain Satellite,Dealer,8442853280,,Consumer Residential,0,,0,,69071,,,<font size='8' color='red'><b>Thank you for calling Appalachian Mountain Satellite! Don't forget to ask about our special offers today!</b></font>
DM 817 Outfield,Campaigns,8442853281,,Consumer Residential,0,,0,,,,,
DM 815 Root Domain backup,Campaigns,8442853282,,Consumer Residential,0,,0,,,,,
BI 318 Cell A,Business,8442886759,,Business,0,,0,7013A000000mK6L,,Business Campaigns,,
BI 318 Cell B,Business,8442886760,,Business,0,,0,7013A000000mK6Q,,Business Campaigns,,
BI 318 Cell C,Business,8442886761,,Business,0,,0,7013A000000mK6V,,Business Campaigns,,
BI 318 Cell D,Business,8442886770,,Business,0,,0,7013A000000mK6a,,Business Campaigns,,
BI 318 Root Domain,Business,8442886771,,Business,0,,0,7013A000000mK6f,,Business Campaigns,,
DM 617 Outfield,Campaigns,8442886780,,Consumer Residential,0,,0,,,,,
DM 418 BM Growth,Direct Mail,8442886781,,Consumer Residential,0,,0,,,,,
DM 617 Outfield,Campaigns,8442886784,,Consumer Residential,0,,0,,,,,
DM 617 Outfield,Campaigns,8442886785,,Consumer Residential,0,,0,,,,,
DM 617 Outfield,Campaigns,8442886789,,Consumer Residential,0,,0,,,,,
Communications Solutions Care Transfers,Other,8442888702,,Consumer Residential,0,,0,,,,,
DM 617 Outfield,Campaigns,8442888703,,Consumer Residential,0,,0,,,,,
Focus Services Care Transfers,Other,8442888704,,Consumer Residential,0,,0,,,,,
DM 617 Both,Campaigns,8442888705,,Consumer Residential,0,,0,,,,,
S and P Data Care Transfers,Other,8442888706,,Consumer Residential,0,,0,,,,,
DM 617 Both,Campaigns,8442888707,,Consumer Residential,0,,0,,,,,
Edgemark Care Transfers,Other,8442888708,,Consumer Residential,0,,0,,,,,
DM 617 Root Domain,Campaigns,8442888709,,Consumer Residential,0,,0,,,,,
DM 717 Outfield,Campaigns,8442889639,,Consumer Residential,0,,0,,,,,
Insight Satellite,Dealer,8442889640,,Consumer Residential,0,,0,,69213,,,<font size='8' color='red'><b>Thank you for calling Insight Satellite! Don't forget to ask about our special offers today!</b></font>
Fast Internet USA,Dealer,8442889641,,Consumer Residential,0,,0,,51920,,,<font size='8' color='red'><b>Thank you for calling Fast Internet USA! Don't forget to ask about our special offers today!</b></font>
Into Data Communication ,Dealer,8442889642,,Consumer Residential,0,,0,,75885,,,<font size='8' color='red'><b>Thank you for calling Into Data Communication! Don't forget to ask about our special offers today!</b></font>
BI 917 Cell C,Business,8442889643,,Business,0,,0,7013A000000mL51,,Business Campaigns,,
BI Chat Referral to Agents,Business,8442889644,,Business,0,,0,7013A000000mKB1,,Business Web,,
YP Print Ad Bluetext Version,Directories,8442889645,,Consumer Residential,0,,1,,,,,
BI 917 Cell D,Business,8442889646,,Business,0,,0,7013A000000mL56,,Business Campaigns,,
DM 717 Root Domain,Campaigns,8442889647,,Consumer Residential,0,,0,,,,,
Hugh Tower,Dealer,8442889649,,Consumer Residential,0,,0,,16176,,,<font size='8' color='red'><b>Thank you for calling Hugh Tower! Don't forget to ask about our special offers today!</b></font>
Strickly Digital,Dealer,8443174906,,Consumer Residential,0,,0,,41731,,,<font size='8' color='red'><b>Thank you for calling Strickly Digital! Don't forget to ask about our special offers today!</b></font>
Ennstec Satellite,Dealer,8443176280,,Consumer Residential,0,,0,,69067,,,<font size='8' color='red'><b>Thank you for calling Ennstec Satellite! Don't forget to ask about our special offers today!</b></font>
Quantcast Gen5,Digital,8443176726,,Consumer Residential,0,,1,,,,,
BI Marchex Transfer Test,Business,8443176728,,Business,0,,0,7013A000000tzEV,,Business PPC,,
DM 518 Trigger Root Domain,Direct Mail,8443203937,,Consumer Residential,0,,0,,,,,
Quantcast 05141TPAnAd1,Digital,8443240275,,Consumer Residential,0,,1,,,,,
Quantcast 05141TPAnAd2,Digital,8443240276,,Consumer Residential,0,,1,,,,,
2nd Service Xfer,Other,8443240277,,Consumer Residential,0,,0,,,,,
Retargeting 05141TPAnAd3,Digital,8443240278,,Consumer Residential,0,,1,,,,,
Retargeting 05141TPAnAd4,Digital,8443240283,,Consumer Residential,0,,1,,,,,
Retargeting 05141TPAnAd5,Digital,8443240356,,Consumer Residential,0,,1,,,,,
Retargeting 05141TPAnAd6,Digital,8443240435,,Consumer Residential,0,,1,,,,,
Interstate Communications Systems,Dealer,8443241539,,Consumer Residential,0,,0,,42278,,,<font size='8' color='red'><b>Thank you for calling Interstate Communications Systems! Don't forget to ask about our special offers today!</b></font>
My Wireless LLC,Dealer,8443242157,,Consumer Residential,0,,0,,207767,,,<font size='8' color='red'><b>Thank you for calling My Wireless LLC! Don't forget to ask about our special offers today!</b></font>
Retargeting 05141TPAnAd7,Digital,8443242158,,Consumer Residential,0,,1,,,,,
Retargeting 05141TPAnAd8,Digital,8443242159,,Consumer Residential,0,,1,,,,,
Retargeting 05141TPAnAd9,Digital,8443242160,,Consumer Residential,0,,1,,,,,
BJs Communications,Dealer,8443242176,,Consumer Residential,0,,0,,88767,,,<font size='8' color='red'><b>Thank you for calling BJs Communications! Don't forget to ask about our special offers today!</b></font>
Consumer Website 05141HNABT 2A,Web Managed,8443242283,,Consumer Residential,0,,0,,,,,
Consumer Website 05141HNABT 2B,Web Managed,8443242288,,Consumer Residential,0,,0,,,,,
Satellite Networking,Dealer,8444513200,,Consumer Residential,0,,0,,69073,,,<font size='8' color='red'><b>Thank you for calling Satellite Networking! Don't forget to ask about our special offers today!</b></font>
DM 1017 Outfield,Campaigns,8444513202,,Consumer Residential,0,,0,,,,,
Loftis Satellite,Dealer,8444513203,,Consumer Residential,0,,0,,16880,,,<font size='8' color='red'><b>Thank you for calling Loftis Satellite! Don't forget to ask about our special offers today!</b></font>
BI 1117 Cell D,Business,8444513204,,Business,0,,0,7013A000001y544,,Business Campaigns,,
Ozark Satellites,Dealer,8444527600,,Consumer Residential,0,,0,,213309,,,<font size='8' color='red'><b>Thank you for calling Ozark Satellites! Don't forget to ask about our special offers today!</b></font>
BI 518 GEO Cell D,Business,8444527601,,Business,0,,0,7013A000001y53z,,Business Campaigns,,
First Choice Communications,Dealer,8444527602,,Consumer Residential,0,,0,,69080,,,<font size='8' color='red'><b>Thank you for calling First Choice Communications! Don't forget to ask about our special offers today!</b></font>
DM 1215 Spaceway ANI Prospect EPQ HNS14Q1 Maturity Cut,Campaigns,8444527603,,Consumer Residential,0,,0,,,,,
Insight Satellite Generic Postcard,Dealer,8444527604,,Consumer Residential,0,,0,,69213,,,<font size='8' color='red'><b>Thank you for calling Insight Satellite! Don't forget to ask about our special offers today!</b></font>
DM 1215 Echo XVII ANI Prospect EPQ HNS14Q1 Maturity Cut,Campaigns,8444527605,,Consumer Residential,0,,0,,,,,
Giltek Enterprises,Dealer,8444527606,,Consumer Residential,0,,0,,70239,,,<font size='8' color='red'><b>Thank you for calling Giltek Enterprises! Don't forget to ask about our special offers today!</b></font>
BI 917 Root Domain,Business,8444527607,,Business,0,,0,7013A000000mLXF,,Business Campaigns,,
DM 1215 Echo XVII ANI Prospect EPQ HNS14Q1 Maturity Cut Closing Beams ATTR 15Q4 3to10,Campaigns,8444527608,,Consumer Residential,0,,0,,,,,
BI 518 ANI EPQ Cell A,Business,8444527609,,Business,0,,0,7013A000000mLXK,,Business Campaigns,,
Consumer Website Dealer Locator,Web Managed,8444596007,,Consumer Residential,0,,0,,,,,
DM 915 Echo XVII HHD Freq HNS14Q1 3plus HHD15Q1 1to2 Even,Campaigns,8444596008,,Consumer Residential,0,,0,,,,,
Advanced Home Solutions,Dealer,8444596009,,Consumer Residential,0,,0,,69064,,,<font size='8' color='red'><b>Thank you for calling Advanced Home Solutions! Don't forget to ask about our special offers today!</b></font>
BI Q3 2016 EOQ email ,Business,8444596010,,Business,0,,0,70130000001xr7N,,Business Email,,
Millennium Satellite,Dealer,8444596011,,Consumer Residential,0,,0,,213407,,,<font size='8' color='red'><b>Thank you for calling Millennium Satellite! Don't forget to ask about our special offers today!</b></font>
RPM Direct,Dealer,8444596012,,Consumer Residential,0,,0,,42211,,,<font size='8' color='red'><b>Thank you for calling RPM Direct! Don't forget to ask about our special offers today!</b></font>
BI Q3 2016 EOQ Last Chance,Business,8444596013,,Business,0,,0,70130000001xr7X,,Business Email,,
Firelands Satellite,Dealer,8444596014,,Consumer Residential,0,,0,,70519,,,<font size='8' color='red'><b>Thank you for calling Firelands Satellite! Don't forget to ask about our special offers today!</b></font>
DM 1017 Outfield,Campaigns,8444596015,,Consumer Residential,0,,0,,,,,
Entersource,Dealer,8444782930,,Consumer Residential,0,,0,,69156,,,<font size='8' color='red'><b>Thank you for calling Entersource! Don't forget to ask about our special offers today!</b></font>
BI 1115 Home Web Test Cell A,Business,8444782931,,Business,0,,0,70130000000NWtU,,Business Web,,
BI 1115 Plan Web Test Cell D,Business,8444782932,,Business,0,,0,70130000000NWuN,,Business Web,,
DM 1217 Infield,Campaigns,8444782934,,Consumer Residential,0,,0,,,,,
DM 1215 ECHOXVII HHD15Q1 1to7 Swap Out HHD15Q4 7plus Even,Campaigns,8444782935,,Consumer Residential,0,,0,,,,,
DM 1217 Infield,Campaigns,8444782936,,Consumer Residential,0,,0,,,,,
BI 1115 Home Web Test Cell B,Business,8444782938,,Business,0,,0,70130000000NWtZ,,Business Web,,
Florida TotalCom,Dealer,8444782939,,Consumer Residential,0,,0,,69144,,,<font size='8' color='red'><b>Thank you for calling Florida Total Com! Don't forget to ask about our special offers today!</b></font>
DM 1217 Outfield,Campaigns,8444782940,,Consumer Residential,0,,0,,,,,
BI 1115 Home Web Test Cell F,Business,8444782941,,Business,0,,0,70130000000NWtt,,Business Web,,
Partners Satellite,Dealer,8444818775,,Consumer Residential,0,,0,,70993,,,<font size='8' color='red'><b>Thank you for calling Partners Satellite! Don't forget to ask about our special offers today!</b></font>
DM 1215 ECHOXVII HHD15Q1 1to7 Overlap HHD15Q4 1to6 Even,Campaigns,8444818776,,Consumer Residential,0,,0,,,,,
S and P Customer Callbacks,Other,8444818777,,Consumer Residential,0,,0,,,,,
CenturyLink Transfers,Referrals,8444818778,,CenturyLink,0,,0,,92123,,,
DM 917 Outfield,Campaigns,8444818779,,Consumer Residential,0,,0,,,,,
DM 1215 ECHOXVII HHD15Q1 7plus Swap In HHD15Q4 1to5 Top of 6 No NOSTAT Even,Campaigns,8444818780,,Consumer Residential,0,,0,,,,,
DM 1017 Infield,Campaigns,8444818781,,Consumer Residential,0,,0,,,,,
DM 1117 Both,Campaigns,8444818782,,Consumer Residential,0,,0,,,,,
Amazon IQ creative tests,Web Managed,8444818783,,Consumer Residential,0,,0,,,,,
Elite Installations,Dealer,8444818784,,Consumer Residential,0,,0,,74488,,,<font size='8' color='red'><b>Thank you for calling Elite Installations! Don't forget to ask about our special offers today!</b></font>
RC Satellite,Dealer,8444821791,,Consumer Residential,0,,0,,66618,,,<font size='8' color='red'><b>Thank you for calling RC Satellite! Don't forget to ask about our special offers today!</b></font>
Satcom Utah LLC,Dealer,8444821792,,Consumer Residential,0,,0,,73243,,,<font size='8' color='red'><b>Thank you for calling Satcom Utah! Don't forget to ask about our special offers today!</b></font>
BI Q4 2017 End of Quarter Last Chance,Business,8444821793,,Business,0,,0,70130000000NWYL,,Business Email,,
BI 1115 Plan Web Test Cell F,Business,8444821794,,Business,0,,0,70130000000NWuX,,Business Web,,
DM 1215 Echo XVII HHD Freq HNS14Q1 3plus HHD15Q1 1to2 Odd,Campaigns,8444821795,,Consumer Residential,0,,0,,,,,
YP Digital PPC Local,Directories,8444821796,,Consumer Residential,0,,1,,,,,
Owner IQ Landing Page,Web Managed,8444821797,,Consumer Residential,0,,1,,,,,
BI Q4 2017 End of Quarter Email,Business,8444821798,,Business,0,,0,70130000000NWYG,,Business Email,,
Owner IQ,Web Managed,8444821799,,Consumer Residential,0,,1,,,,,
Comm Sol Joplin Customer Callbacks,Other,8444821800,,Consumer Residential,0,,0,,,,,
Verve Mobile,Web Managed,8444890439,,Consumer Residential,0,,1,,,,,
Insight Satellite Branded Postcard,Dealer,8444890455,,Consumer Residential,0,,0,,69213,,,<font size='8' color='red'><b>Thank you for calling Insight Satellite! Don't forget to ask about our special offers today!</b></font>
DM 1215 Echo XVII GROWTH ANI Prospect EPQ HNS14Q1 Maturity Cut,Campaigns,8444890483,,Consumer Residential,0,,0,,,,,
DM 1215 Echo XVII GROWTH ANI Prospect EPQ HNS14Q1 Maturity Cut Closing Beams ATTR 15Q4 3to10,Campaigns,8444890485,,Consumer Residential,0,,0,,,,,
DM 1215 Echo XVII GROWTH HHD Freq HNS14Q1 3plus HHD15Q1 1to2 Odd,Campaigns,8444890486,,Consumer Residential,0,,0,,,,,
Cold River Communications,Dealer,8444890488,,Consumer Residential,0,,0,,73093,,,<font size='8' color='red'><b>Thank you for calling Cold River Communications! Don't forget to ask about our special offers today!</b></font>
FB DataLab Ad 1,Web Managed,8444890633,,Consumer Residential,0,,1,,,,,
FB DataLab Ad 2,Web Managed,8444890634,,Consumer Residential,0,,1,,,,,
FB DataLab Ad 3,Web Managed,8444890635,,Consumer Residential,0,,1,,,,,
FB DataLab Ad 4,Web Managed,8444890636,,Consumer Residential,0,,1,,,,,
DM 1017 Infield,Campaigns,8444917695,,Consumer Residential,0,,0,,,,,
BI 1115 Plan Web Test Cell G,Business,8444917696,,Business,0,,0,70130000000NWuc,,Business Web,,
Call Redirects,Web Managed,8444917697,,Consumer Residential,0,,1,,,,,
BI 1115 Home Web Test Cell E,Business,8444917698,,Business,0,,0,70130000000NWto,,Business Web,,
SuperMedia DexKnows Print 2015,Directories,8444917699,,Consumer Residential,0,,1,,,,,
Comm Sol Springfield Customer Callbacks,Other,8444917700,,Consumer Residential,0,,0,,,,,
PreInstall Consumer Transfers,Other,8444917701,,Consumer Residential,0,,0,,,,,
Done Rite,Dealer,8444917702,,Consumer Residential,0,,0,,45500,,,<font size='8' color='red'><b>Thank you for calling Done Rite! Don't forget to ask about our special offers today!</b></font>
21st Century Communications,Dealer,8444917703,,Consumer Residential,0,,0,,69141,,,<font size='8' color='red'><b>Thank you for calling 21st Century Communications! Don't forget to ask about our special offers today!</b></font>
Vision Quest Communications LLC,Dealer,8444917704,,Consumer Residential,0,,0,,69203,,,<font size='8' color='red'><b>Thank you for calling Vision Quest Communications! Don't forget to ask about our special offers today!</b></font>
BI 1115 Home Web Test Cell G,Business,8445040258,,Business,0,,0,70130000000NWty,,Business Web,,
DM 1217 Outfield,Campaigns,8445040259,,Consumer Residential,0,,0,,,,,
Advanced Wireless,Dealer,8445040260,,Consumer Residential,0,,0,,69089,,,<font size='8' color='red'><b>Thank you for calling Advanced Wireless! Don't forget to ask about our special offers today!</b></font>
On Ramp National LLC Generic Postcard,Dealer,8445040261,,Consumer Residential,0,,0,,69078,,,<font size='8' color='red'><b>Thank you for calling On Ramp National! Don't forget to ask about our special offers today!</b></font>
DM 1217 Outfield,Campaigns,8445040262,,Consumer Residential,0,,0,,,,,
MT Hollisat,Dealer,8445040263,,Consumer Residential,0,,0,,213403,,,<font size='8' color='red'><b>Thank you for calling MT Hollisat! Don't forget to ask about our special offers today!</b></font>
DM 1217 Outfield,Campaigns,8445040264,,Consumer Residential,0,,0,,,,,
DM 1217 Outfield,Campaigns,8445040265,,Consumer Residential,0,,0,,,,,
JSE Home,Dealer,8445040266,,Consumer Residential,0,,0,,69154,,,<font size='8' color='red'><b>Thank you for calling JSE Home Don't forget to ask about our special offers today!</b></font>
DM 1217 Outfield,Campaigns,8445040267,,Consumer Residential,0,,0,,,,,
Life Connected ,Web Managed,8445119906,,Consumer Residential,0,,0,,,,,
Life Connected Centro,Web Managed,8445119907,,Consumer Residential,0,,0,,,,,
Life Connected Chango,Web Managed,8445119908,,Consumer Residential,0,,0,,,,,
Life Connected Sharethrough,Web Managed,8445119909,,Consumer Residential,0,,0,,,,,
Focus Customer Callbacks,Other,8445119910,,Consumer Residential,0,,0,,,,,
Focus IA Customer Callbacks,Other,8445119911,,Consumer Residential,0,,0,,,,,
DM 1117 Both,Campaigns,8445119912,,Consumer Residential,0,,0,,,,,
Just Communications,Dealer,8445119913,,Consumer Residential,0,,0,,71197,,,<font size='8' color='red'><b>Thank you for calling Just Communications! Don't forget to ask about our special offers today!</b></font>
LiveIntent Retargeting Ad,Web Managed,8445119914,,Consumer Residential,0,,1,,,,,
NAF Mobile 2015,Directories,8445119915,,Consumer Residential,0,,1,,,,,
Edgemark BI Customer Callbacks,Business,8445192520,,Business,0,,0,7013A000000tzEa,,Business Callback,,
Customer Care Transfer to New Sales,Other,8445192521,,Consumer Residential,0,,0,,,,,
DM 1215 Echo XVII GROWTH HHD15Q1 1to7 Overlap HHD15Q4 1to6 Even,Campaigns,8445192522,,Consumer Residential,0,,0,,,,,
DM 1117 Both,Campaigns,8445192523,,Consumer Residential,0,,0,,,,,
DM 1115 Echo XVII GROWTH HHD15Q1 1to 4 Odd,Campaigns,8445192524,,Consumer Residential,0,,0,,,,,
Five9 Residential Transfer,Other,8445192526,,Consumer Residential,0,,0,,,,,
DM 1215 Echo XVII GROWTH HHD15Q1 1to7 Swap Out HHD15Q4 7plus Even,Campaigns,8445192527,,Consumer Residential,0,,0,,,,,
DM1117 Both,Campaigns,8445192528,,Consumer Residential,0,,0,,,,,
Double S Communications,Dealer,8445192529,,Consumer Residential,0,,0,,213261,,,<font size='8' color='red'><b>Thank you for calling Double S Communications! Don't forget to ask about our special offers today!</b></font>
DM 1215 Echo XVII GROWTH HHD15Q1 7plus Swap In HHD15Q4 1to5 Top of 6No NOSTAT Even,Campaigns,8445192530,,Consumer Residential,0,,0,,,,,
BI 1115 Home Web Test Cell C ,Business,8445276274,,Business,0,,0,70130000000NWte,,Business Web,,
DM 1117 Outfield,Campaigns,8445276276,,Consumer Residential,0,,0,,,,,
H and L Service,Dealer,8445276277,,Consumer Residential,0,,0,,69149,,,<font size='8' color='red'><b>Thank you for calling H and L Service! Don't forget to ask about our special offers today!</b></font>
WOB Enterprises,Dealer,8445276350,,Consumer Residential,0,,0,,69146,,,<font size='8' color='red'><b>Thank you for calling WOB Enterprises! Don't forget to ask about our special offers today!</b></font>
On Ramp National LLC Branded Postcard,Dealer,8445276351,,Consumer Residential,0,,0,,69078,,,<font size='8' color='red'><b>Thank you for calling On Ramp National! Don't forget to ask about our special offers today!</b></font>
Faith Satellite,Dealer,8445276352,,Consumer Residential,0,,0,,69207,,,<font size='8' color='red'><b>Thank you for calling Faith Satellite! Don't forget to ask about our special offers today!</b></font>
NAF Mobile,Web Managed,8445276353,,Consumer Residential,0,,1,,,,,
Bulls Eye Satellite,Dealer,8445276354,,Consumer Residential,0,,0,,30801,,,<font size='8' color='red'><b>Thank you for calling Bulls Eye Satellite! Don't forget to ask about our special offers today!</b></font>
Dex Knows,Directories,8445276355,,Consumer Residential,0,,1,,,,,
SuperMedia DexKnows Print 2015,Directories,8445276356,,Consumer Residential,0,,1,,,,,
DM 1217 Both,Campaigns,8445348207,,Consumer Residential,0,,0,,,,,
BI 1115 Cell C,Business,8445348208,,Business,0,,0,70130000000NVXK,,Business Campaigns,,
BI 1016 Cell B,Business,8445348209,,Business,0,,0,7013A000000NnRe,,Business Campaigns,,
BI 1115 Cell F,Business,8445348210,,Business,0,,0,70130000000NVXZ,,Business Campaigns,,
BI 1115 Cell D,Business,8445348211,,Business,0,,0,70130000000NVXP,,Business Campaigns,,
Big Boy Toys,Dealer,8445348212,,Consumer Residential,0,,0,,37441,,,<font size='8' color='red'><b>Thank you for calling Big Boy Toys! Don't forget to ask about our special offers today!</b></font>
BI 1115 Cell E,Business,8445348213,,Business,0,,0,70130000000NVXU,,Business Campaigns,,
Ozark Satellite Generic Postcard,Dealer,8445348214,,Consumer Residential,0,,0,,213309,,,<font size='8' color='red'><b>Thank you for calling Ozark Satellite! Don't forget to ask about our special offers today!</b></font>
BI 1216 Cell C,Business,8445348215,,Business,0,,0,7013A000000txix,,Business Campaigns,,
BI 1016 Cell A,Business,8445348216,,Business,0,,0,7013A000000NnRU,,Business Campaigns,,
Ozark Satellite Branded Postcard,Dealer,8445355993,,Consumer Residential,0,,0,,213309,,,<font size='8' color='red'><b>Thank you for calling Ozark Satellite! Don't forget to ask about our special offers today!</b></font>
Mobile Campaigns,Web Managed,8445355995,,Consumer Residential,0,,1,,,,,
BI 118 Cell A,Business,8445355997,,Business,0,,0,70130000000NZyS,,Business Campaigns,,
Chango Web Marketing,Web Managed,8445355998,,Consumer Residential,0,,0,,,,,
Alpha Satellite ,Dealer,8445356001,,Consumer Residential,0,,0,,343,,,<font size='8' color='red'><b>Thank you for calling Alpha Satellite! Don't forget to ask about our special offers today!</b></font>
HughesNet Voice Website Referrals,Web Managed,8445356002,,Consumer Residential,0,,0,,,,,
BI 118 Cell B,Business,8445356003,,Business,0,,0,70130000000NZyX,,Business Campaigns,,
BI 118 Cell C,Business,8445356004,,Business,0,,0,70130000000NaHi,,Business Campaigns,,
BI 118 Cell D,Business,8445356005,,Business,0,,0,70130000000NaHn,,Business Campaigns,,
BI 118 Cell E,Business,8445356006,,Business,0,,0,70130000000NaHs,,Business Campaigns,,
DM 1115 Echo XVII GROWTH HHD Freq HNS14Q1 3plus HHD15Q1 1 Even,Campaigns,8445430617,,Consumer Residential,0,,0,,,,,
BI 118 Cell F,Business,8445430618,,Business,0,,0,70130000000NaHx,,Business Campaigns,,
ATG,Dealer,8445430619,,Consumer Residential,0,,0,,42391,,,<font size='8' color='red'><b>Thank you for calling ATG! Don't forget to ask about our special offers today!</b></font>
4G Satellite,Dealer,8445430620,,Consumer Residential,0,,0,,41122,,,<font size='8' color='red'><b>Thank you for calling 4 G Satellite! Don't forget to ask about our special offers today!</b></font>
BI 118 Root Domain,Business,8445430621,,Business,0,,0,70130000000NaI2,,Business Campaigns,,
PreInstall IVR Xfer to new Sales,Other,8445511836,,Consumer Residential,0,,0,,,,,
Top Dog,Dealer,8445800156,,Consumer Residential,0,,0,,69218,,,<font size='8' color='red'><b>Thank you for calling Top Dog! Don't forget to ask about our special offers today!</b></font>
DM 118 Infield,Campaigns,8445800157,,Consumer Residential,0,,0,,,,,
DM 118 Infield,Campaigns,8445800158,,Consumer Residential,0,,0,,,,,
DM 118 Outfield,Campaigns,8445800159,,Consumer Residential,0,,0,,,,,
DM 118 Outfield,Campaigns,8445800160,,Consumer Residential,0,,0,,,,,
DM 817 Outfield,Campaigns,8445800161,,Consumer Residential,0,,0,,,,,
DM 118 Outfield,Campaigns,8445800162,,Consumer Residential,0,,0,,,,,
DM 118 Outfield,Campaigns,8445800163,,Consumer Residential,0,,0,,,,,
DM 817 Outfield,Campaigns,8445800164,,Consumer Residential,0,,0,,,,,
DM 817 Outfield,Campaigns,8445800165,,Consumer Residential,0,,0,,,,,
New Horizon,Dealer,8445925756,,Consumer Residential,0,,0,,35881,,,<font size='8' color='red'><b>Thank you for calling New Horizon! Don't forget to ask about our special offers today!</b></font>
